b,k,periodo,estabilidad
ExactReal{Float64}(-20),ExactReal{Float64}(-28),3,"Inestable porque existe landa = [-2.32577, -2.32576]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.25),2,"Inestable porque existe landa = [-5.80331, -5.8033]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.25),3,"Inestable porque existe landa = [-1.99328, -1.99327]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.5),2,"Inestable porque existe landa = [-5.81073, -5.81072]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.5),3,"Inestable porque existe landa = [-1.63678, -1.63677]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.75),2,"Inestable porque existe landa = [-5.80769, -5.80768]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-28.75),3,"Inestable porque existe landa = [22.4167, 22.4168]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-29),2,"Inestable porque existe landa = [-5.79472, -5.79471]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-29.25),2,"Inestable porque existe landa = [-5.77227, -5.77226]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-29.25),3,"Estable porque existe landa = [-0.445566, -0.445565]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-29.5),2,"Inestable porque existe landa = [-5.74077, -5.74076]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-29.75),2,"Inestable porque existe landa = [-5.7006, -5.70059]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30),2,"Inestable porque existe landa = [-5.65211, -5.6521]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30),3,"Estable porque existe landa = [0.604074, 0.604075]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30.5),2,"Inestable porque existe landa = [-5.53139, -5.53138]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30.5),3,"Estable porque existe landa = [-0.0278221, -0.027822]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30.75),2,"Inestable porque existe landa = [-5.45971, -5.45969]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-30.75),3,"Estable porque existe landa = [-0.451497, -0.451496]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-31),2,"Inestable porque existe landa = [-5.38081, -5.3808]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-31.5),2,"Inestable porque existe landa = [-5.20225, -5.20224]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-32),2,"Inestable porque existe landa = [-4.99735, -4.99734]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-32.25),2,"Inestable porque existe landa = [-4.88547, -4.88546]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-33.25),2,"Inestable porque existe landa = [-4.37883, -4.37882]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-33.25),3,"Inestable porque existe landa = [15.4517, 15.4518]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-33.75),4,"Inestable porque existe landa = [-6.38748, -6.38747]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-34.25),2,"Inestable porque existe landa = [-3.78433, -3.78432]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-34.5),2,"Inestable porque existe landa = [-3.62292, -3.62291]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-34.5),4,"Inestable porque existe landa = [-5.96589, -5.96588]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-34.75),5,"Inestable porque existe landa = [-22.228, -22.2279]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-35.25),2,"Inestable porque existe landa = [-3.10981, -3.1098]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-36),2,"Inestable porque existe landa = [-2.5555, -2.55549]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-36),4,"Inestable porque existe landa = [-3.94703, -3.94702]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-36.5),2,"Inestable porque existe landa = [-2.16436, -2.16435]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-36.5),4,"Inestable porque existe landa = [-2.93114, -2.93113]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-37.5),2,"Inestable porque existe landa = [-1.33333, -1.33332]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-37.75),2,"Inestable porque existe landa = [-1.1159, -1.11589]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-38.25),2,"Estable porque existe landa = [-0.669937, -0.669936]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-39),2,"Estable porque existe landa = [0.0256329, 0.025633]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-39.25),2,"Estable porque existe landa = [0.26432, 0.264321]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-39.75),2,"Estable porque existe landa = [0.751543, 0.751544]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-40),2,"Estable porque existe landa = [0.996368, 0.996369]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-40.25),2,"Estable porque existe landa = [0.751529, 0.75153]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-40.75),2,"Estable porque existe landa = [0.263798, 0.263799]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-41),2,"Estable porque existe landa = [0.0243869, 0.024387]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-41.25),2,"Estable porque existe landa = [-0.212124, -0.212123]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-41.5),2,"Estable porque existe landa = [-0.445785, -0.445784]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-41.75),2,"Estable porque existe landa = [-0.676648, -0.676647]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-42),2,"Estable porque existe landa = [-0.904762, -0.904761]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-42.25),2,"Inestable porque existe landa = [-1.13018, -1.13017]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-42.5),2,"Inestable porque existe landa = [-1.35295, -1.35294]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-42.5),4,"Estable porque existe landa = [-0.345683, -0.345682]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-42.75),2,"Inestable porque existe landa = [-1.5731, -1.57309]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-43.25),2,"Inestable porque existe landa = [-2.00578, -2.00577]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-43.5),4,"Inestable porque existe landa = [-3.13627, -3.13626]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-43.75),2,"Inestable porque existe landa = [-2.42858, -2.42856]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-43.75),4,"Inestable porque existe landa = [-3.71754, -3.71753]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-44),2,"Inestable porque existe landa = [-2.63637, -2.63636]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-44),4,"Inestable porque existe landa = [-4.25951, -4.2595]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-44.25),2,"Inestable porque existe landa = [-2.84181, -2.8418]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-44.75),2,"Inestable porque existe landa = [-3.24581, -3.2458]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-45),2,"Inestable porque existe landa = [-3.44445, -3.44444]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-45),4,"Inestable porque existe landa = [-6.09561, -6.0956]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-22.25),2,"Estable porque existe landa = [0.159472, 0.159473]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-22.5),2,"Estable porque existe landa = [-0.529006, -0.529004]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-22.75),2,"Inestable porque existe landa = [-1.15085, -1.15084]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-23),2,"Inestable porque existe landa = [-1.71174, -1.71173]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-23.25),2,"Inestable porque existe landa = [-2.21693, -2.21691]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-23.75),3,"Estable porque existe landa = [-0.638172, -0.638171]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-24),2,"Inestable porque existe landa = [-3.44461, -3.4446]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-24.25),2,"Inestable porque existe landa = [-3.77144, -3.77142]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-24.25),3,"Inestable porque existe landa = [-2.53552, -2.53551]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-24.5),3,"Inestable porque existe landa = [7.64355, 7.64356]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-24.75),3,"Inestable porque existe landa = [-3.32861, -3.3286]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-25),3,"Inestable porque existe landa = [-3.54494, -3.54493]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-25.5),2,"Inestable porque existe landa = [-4.93327, -4.93326]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-25.5),3,"Inestable porque existe landa = [12.4831, 12.4832]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-25.5),4,"Inestable porque existe landa = [-48.0767, -48.0766]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-25.75),2,"Inestable porque existe landa = [-5.08889, -5.08888]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-26.25),2,"Inestable porque existe landa = [-5.33938, -5.33937]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-26.25),3,"Inestable porque existe landa = [-3.56524, -3.56523]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-26.5),2,"Inestable porque existe landa = [-5.43734, -5.43733]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-26.5),3,"Inestable porque existe landa = [-3.41611, -3.4161]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-26.75),3,"Inestable porque existe landa = [-3.22793, -3.22791]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-27.25),3,"Inestable porque existe landa = [-2.74766, -2.74765]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-27.75),3,"Inestable porque existe landa = [-2.14667, -2.14666]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-28),2,"Inestable porque existe landa = [-5.71752, -5.71751]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-28.25),2,"Inestable porque existe landa = [-5.72122, -5.72121]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-28.5),2,"Inestable porque existe landa = [-5.71445, -5.71444]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-28.75),2,"Inestable porque existe landa = [-5.69773, -5.69772]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-28.75),3,"Estable porque existe landa = [-0.653829, -0.653827]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-29),3,"Inestable porque existe landa = [22.3478, 22.3479]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-29.25),2,"Inestable porque existe landa = [-5.6363, -5.63629]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-29.5),2,"Inestable porque existe landa = [-5.59239, -5.59238]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30),2,"Inestable porque existe landa = [-5.47992, -5.47991]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30),3,"Inestable porque existe landa = [22.554, 22.5541]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30.25),2,"Inestable porque existe landa = [-5.41196, -5.41195]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30.25),3,"Estable porque existe landa = [-0.242949, -0.242948]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30.75),2,"Inestable porque existe landa = [-5.25393, -5.25391]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-30.75),3,"Inestable porque existe landa = [-1.0671, -1.06709]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-31),2,"Inestable porque existe landa = [-5.16432, -5.16431]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-31.25),3,"Inestable porque existe landa = [-1.82529, -1.82527]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-31.75),2,"Inestable porque existe landa = [-4.85565, -4.85564]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-32.25),3,"Inestable porque existe landa = [-3.03234, -3.03233]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-32.5),2,"Inestable porque existe landa = [-4.49096, -4.49095]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-32.5),4,"Inestable porque existe landa = [-5.78864, -5.78863]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-33),2,"Inestable porque existe landa = [-4.21885, -4.21884]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-33.25),2,"Inestable porque existe landa = [-4.07451, -4.0745]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-33.25),4,"Inestable porque existe landa = [-6.27197, -6.27196]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-33.5),2,"Inestable porque existe landa = [-3.92484, -3.92483]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-34),2,"Inestable porque existe landa = [-3.60996, -3.60995]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-34.75),2,"Inestable porque existe landa = [-3.10057, -3.10055]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-35.5),4,"Inestable porque existe landa = [-3.92249, -3.92248]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-35.75),2,"Inestable porque existe landa = [-2.3566, -2.35658]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-35.75),4,"Inestable porque existe landa = [-3.44177, -3.44176]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36),2,"Inestable porque existe landa = [-2.15969, -2.15968]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.25),2,"Inestable porque existe landa = [-1.9586, -1.95859]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-36.75),2,"Inestable porque existe landa = [-1.54421, -1.5442]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37),2,"Inestable porque existe landa = [-1.33108, -1.33107]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-37.25),2,"Inestable porque existe landa = [-1.1141, -1.11409]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38),2,"Estable porque existe landa = [-0.440795, -0.440794]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38.25),2,"Estable porque existe landa = [-0.209158, -0.209157]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-38.5),2,"Estable porque existe landa = [0.0259639, 0.025964]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39),2,"Estable porque existe landa = [0.50639, 0.506391]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.25),2,"Estable porque existe landa = [0.751556, 0.751557]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.5),2,"Estable porque existe landa = [0.995936, 0.995937]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-39.75),2,"Estable porque existe landa = [0.751543, 0.751544]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-40),2,"Estable porque existe landa = [0.506237, 0.506238]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-40.5),2,"Estable porque existe landa = [0.0246872, 0.0246873]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41),2,"Estable porque existe landa = [-0.445124, -0.445123]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41.25),2,"Estable porque existe landa = [-0.675759, -0.675758]_com con |landa| < 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-41.75),2,"Inestable porque existe landa = [-1.12875, -1.12874]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42),2,"Inestable porque existe landa = [-1.3512, -1.35118]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42.25),2,"Inestable porque existe landa = [-1.57101, -1.571]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-42.75),2,"Inestable porque existe landa = [-2.00293, -2.00292]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43),2,"Inestable porque existe landa = [-2.21512, -2.21511]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43),4,"Inestable porque existe landa = [-3.12384, -3.12383]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43.25),2,"Inestable porque existe landa = [-2.42486, -2.42485]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43.5),4,"Inestable porque existe landa = [-4.24342, -4.2434]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-43.75),2,"Inestable porque existe landa = [-2.83715, -2.83714]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44),2,"Inestable porque existe landa = [-3.03978, -3.03976]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44),4,"Inestable porque existe landa = [-5.21808, -5.21807]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.25),2,"Inestable porque existe landa = [-3.24012, -3.24011]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.5),2,"Inestable porque existe landa = [-3.43821, -3.43819]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-44.75),2,"Inestable porque existe landa = [-3.63408, -3.63407]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-45),2,"Inestable porque existe landa = [-3.82778, -3.82777]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-45),3,"Inestable porque existe landa = [-1.93111, -1.9311]_com con |landa| > 1"
ExactReal{Float64}(-19.75),ExactReal{Float64}(-45),4,"Inestable porque existe landa = [-6.82199, -6.82198]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-21.75),2,"Estable porque existe landa = [0.931261, 0.931262]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-22.25),2,"Estable porque existe landa = [-0.515088, -0.515087]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-22.75),2,"Inestable porque existe landa = [-1.69322, -1.69321]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-23),2,"Inestable porque existe landa = [-2.19577, -2.19576]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-23.5),3,"Estable porque existe landa = [-0.505563, -0.505562]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-23.75),3,"Inestable porque existe landa = [-1.75468, -1.75467]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24),3,"Inestable porque existe landa = [-2.45209, -2.45208]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24.25),2,"Inestable porque existe landa = [-4.02645, -4.02643]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24.5),2,"Inestable porque existe landa = [-4.28237, -4.28236]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24.5),3,"Inestable porque existe landa = [-3.23801, -3.238]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-24.75),2,"Inestable porque existe landa = [-4.50879, -4.50877]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25),2,"Inestable porque existe landa = [-4.70821, -4.7082]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25),3,"Inestable porque existe landa = [-3.57161, -3.5716]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.25),3,"Inestable porque existe landa = [-3.62243, -3.62242]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.5),2,"Inestable porque existe landa = [-5.03496, -5.03495]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.5),3,"Inestable porque existe landa = [-3.61108, -3.61107]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-25.75),3,"Inestable porque existe landa = [-3.5454, -3.54539]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26),2,"Inestable porque existe landa = [-5.27817, -5.27816]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.25),2,"Inestable porque existe landa = [-5.37246, -5.37245]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.25),3,"Inestable porque existe landa = [16.1694, 16.1695]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.5),2,"Inestable porque existe landa = [-5.45033, -5.45032]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-26.75),3,"Inestable porque existe landa = [-2.84634, -2.84633]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.25),2,"Inestable porque existe landa = [-5.59653, -5.59652]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.25),3,"Inestable porque existe landa = [19.1736, 19.1737]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.5),3,"Inestable porque existe landa = [-1.96509, -1.96508]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.75),2,"Inestable porque existe landa = [-5.6302, -5.63019]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-27.75),3,"Inestable porque existe landa = [-1.61741, -1.6174]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28),2,"Inestable porque existe landa = [-5.63011, -5.6301]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28),3,"Inestable porque existe landa = [-1.24656, -1.24655]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.25),2,"Inestable porque existe landa = [-5.61956, -5.61955]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.25),3,"Estable porque existe landa = [-0.855281, -0.85528]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-28.5),3,"Estable porque existe landa = [-0.447799, -0.447798]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29),2,"Inestable porque existe landa = [-5.53004, -5.53003]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29),3,"Estable porque existe landa = [0.35596, 0.355961]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.25),2,"Inestable porque existe landa = [-5.48233, -5.48232]_com con |landa| > 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.25),3,"Estable porque existe landa = [0.564198, 0.564199]_com con |landa| < 1"
ExactReal{Float64}(-19.5),ExactReal{Float64}(-29.5),3,"Estable porque existe landa = [0.351231, 0.351232]_com con |landa| < 1"
